vh_family,vl_family,pair_count,R_value,log2_R,Status
IGHV4,IGLV5,251,0.631,-0.6643,Depleted
IGHV2,IGLV4,123,0.6296,-0.6674,Depleted
IGHV2,IGLV8,89,0.6244,-0.6794,Depleted
IGHV4,IGLV7,1013,0.616,-0.6989,Depleted
IGHV1,IGLV10,216,0.6044,-0.7264,Depleted
IGHV4,IGLV4,731,0.5619,-0.8316,Depleted
IGHV6,IGLV3,276,0.559,-0.839,Depleted
IGHV5,IGKV5,4,0.5378,-0.8948,NS
IGHV7,IGKV2,282,0.4987,-1.0037,Depleted
IGHV7,IGLV10,10,0.3134,-1.6738,Depleted
IGHV6,IGLV6,11,0.3017,-1.729,Depleted
IGHV2,IGLV10,21,0.2665,-1.9078,Depleted
IGHV6,IGLV8,6,0.2043,-2.291,Depleted
IGHV6,IGLV4,8,0.1988,-2.3307,Depleted
IGHV5,IGLV10,15,0.1527,-2.7113,Depleted
